Year,week,Artist,Production,Rank_change
2012,1,티아라 (T-ara),코어컨텐츠미디어,-0.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,"다비치, 티아라",Kakao,-2.0
2012,1,트러블메이커 (Trouble Maker),큐브엔터테인먼트,-2.0
2012,1,이현 (에이트),쏘스뮤직,-0.0
2012,1,지아 (Zia),Kakao,-2.0
2012,1,아이유 (IU),Kakao,-4.0
2012,1,엠블랙 (MBLAQ),J.Tune,-0.0
2012,1,10cm,내가,-0.0
2012,1,"리쌍, BMK",제이엔터컴,
2012,1,박완규,아이엠비씨,-0.0
2012,1,"허각, LE(EXID)",에이비엔터테인먼트,-6.0
2012,1,틴 탑 (Teen Top),티오피미디어,-0.0
2012,1,노을,더그루브엔터테인먼트,-7.0
2012,1,티아라 (T-ara),코어컨텐츠미디어,-6.0
2012,1,코요태(KYT),피케이미디어,-0.0
2012,1,알리 (ALi),예당컴퍼니,-9.0
2012,1,Jason Mraz,Elektra,-0.0
2012,1,영준 (브라운아이드소울),인넥스트,-14.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,원더걸스 (Wonder girls),JYP,-7.0
2012,1,주석,퀸(QUEEN),23.0
2012,1,윤민수,아이엠비씨,-0.0
2012,1,에이핑크 (Apink),플레이엠엔터테인먼트,-2.0
2012,1,박재범,아이에이치큐,-8.0
2012,1,일렉트로보이즈 (Electroboyz),브레이브,-10.0
2012,1,노을,ITM,-9.0
2012,1,김연우,Stone,-17.0
2012,1,오렌지 캬라멜 (Orange Caramel),넥스타엔터테인먼트,-14.0
2012,1,거미,아이엠비씨,-0.0
2012,1,"동해, 은혁",SM,-12.0
2012,1,울랄라세션,Stone,-9.0
2012,1,자우림,아이엠비씨,-0.0
2012,1,이영현,딥블루,-22.0
2012,1,김보경,Sony,-22.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,김경호,아이엠비씨,-0.0
2012,1,아이유 (IU),Kakao,-13.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,제아 (브라운 아이드 걸스),더그루브엔터테인먼트,-20.0
2012,1,아이유 (IU),Kakao,-17.0
2012,1,임정희,노트뮤직,-0.0
2012,1,Adele,XL,11.0
2012,1,허각,플레이엠엔터테인먼트,-15.0
2012,1,윤종신,미스틱스토리,-0.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,"이승철, 크리스티나 러브 리",㈜진엔원뮤직웍스&Stone,-26.0
2012,1,일락 (一樂),유니온캔,-0.0
2012,1,NS Yoon-G,JTM엔터테인먼트,-0.0
2012,1,먼데이 키즈 (Monday Kiz),캔,-24.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,소녀시대,SM,-21.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,"리쌍, 알리 (ALi)",제이엔터컴,-15.0
2012,1,"포맨 (4Men), 미 (美)",해피페이스,-23.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,버스커 버스커 (Busker Busker),Stone,-22.0
2012,1,LMFAO,Universal,-12.0
2012,1,김그림,더그루브엔터테인먼트,73.0
2012,1,소녀시대,SM,-22.0
2012,1,박완규,아이엠비씨,-34.0
2012,1,이승기,후크엔터테인먼트,-21.0
2012,1,인피니트 (Infinite),울림,-29.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-17.0
2012,1,태사비애 & 신건,킹콩뮤지션즈,-0.0
2012,1,김원주(4Men),해피페이스,-11.0
2012,1,살찐고양이,커튼콜미디어,-0.0
2012,1,바비킴 (Bobby Kim),아이엠비씨,-0.0
2012,1,브라운 아이드 소울 (Brown Eyed Soul),인넥스트,-41.0
2012,1,노을,디지털칸,-37.0
2012,1,윤건,뮤직스펀지,-0.0
2012,1,왁스 (Wax),뮤직스펀지,-0.0
2012,1,에이트 (8eight),예인문화,-36.0
2012,1,보이프렌드(Boyfriend),스타쉽엔터테인먼트,-11.0
2012,1,버스커 버스커 (Busker Busker),Stone,-22.0
2012,1,시크릿 (Secret),TS엔터테인먼트,-20.0
2012,1,Maroon 5,2011,-12.0
2012,1,Katy Perry,EMI,16.0
2012,1,원더걸스 (Wonder girls),JYP,-35.0
2012,1,비원에이포 (B1A4),디딤,-0.0
2012,1,수지,ice,-33.0
2012,1,Bueno Clinic,스카이뮤직,-18.0
2012,1,적우 (Red Rain),아이엠비씨,-0.0
2012,1,장재인,키위뮤직,-44.0
2012,1,버스커 버스커 (Busker Busker),Stone,-28.0
2012,1,Marie Digby,Universal,-2.0
2012,1,T-Pain,Sony,-27.0
2012,1,정준하,아이엠비씨,-0.0
2012,1,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-0.0
2012,1,김소정,Stone,8.0
2012,1,유키스 (U-Kiss),NH,-55.0
2012,1,임재범,예당컴퍼니,-49.0
2012,1,Beyonce,Sony,29.0
2012,1,이승기,후크엔터테인먼트,-27.0
2012,1,아이유 (IU),Kakao,-37.0
2012,1,간미연,쏘스뮤직,11.0
2012,1,원더걸스 (Wonder girls),JYP,-28.0
2012,1,울랄라세션,Stone,-37.0
2012,1,허각,플레이엠엔터테인먼트,-29.0
2012,1,브라운아이드걸스,내가,-38.0
2012,2,정준하,아이엠비씨,87.0
2012,2,티아라 (T-ara),코어컨텐츠미디어,-1.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-1.0
2012,2,10cm,내가,5.0
2012,2,유재석,아이엠비씨,100.0
2012,2,하하,아이엠비씨,100.0
2012,2,길 (리쌍),아이엠비씨,97.0
2012,2,정형돈,아이엠비씨,100.0
2012,2,원티드 (Wanted),Kakao,-0.0
2012,2,"다비치, 티아라",Kakao,-7.0
2012,2,박명수,아이엠비씨,100.0
2012,2,엠블랙 (MBLAQ),J.Tune,-0.0
2012,2,틴 탑 (Teen Top),티오피미디어,
2012,2,트러블메이커 (Trouble Maker),큐브엔터테인먼트,-10.0
2012,2,노홍철,아이엠비씨,100.0
2012,2,아이유 (IU),Kakao,-9.0
2012,2,"리쌍, BMK",제이엔터컴,-7.0
2012,2,이현 (에이트),쏘스뮤직,-13.0
2012,2,원더걸스 (Wonder Girls),JYP,-0.0
2012,2,지아 (Zia),Kakao,-14.0
2012,2,엠블랙 (MBLAQ),J.Tune,-13.0
2012,2,노을,더그루브엔터테인먼트,-8.0
2012,2,살찐고양이,커튼콜미디어,44.0
2012,2,"허각, LE(EXID)",에이비엔터테인먼트,-12.0
2012,2,바비 킴 (Bobby Kim),애프터런치뮤직,-0.0
2012,2,티아라 (T-ara),코어컨텐츠미디어,-11.0
2012,2,Jason Mraz,Elektra,-9.0
2012,2,써니힐 (SunnyHill),Kakao,-0.0
2012,2,신효범,아이엠비씨,-0.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-10.0
2012,2,알리 (ALi),예당컴퍼니,-14.0
2012,2,에이핑크 (Apink),플레이엠엔터테인먼트,-8.0
2012,2,코요태(KYT),피케이미디어,-17.0
2012,2,원더걸스 (Wonder girls),JYP,-13.0
2012,2,"LMFAO, Steve Aoki",ToCorea,-0.0
2012,2,NS Yoon-G,JTM엔터테인먼트,13.0
2012,2,제이세라 (J-Cera),씨에스해피엔터테인먼트,-0.0
2012,2,노을,ITM,-11.0
2012,2,나인 뮤지스 (Nine Muses),스타제국,-0.0
2012,2,일렉트로보이즈 (Electroboyz),브레이브,-14.0
2012,2,레인보우 픽시 (Pixie),DSP미디어,-0.0
2012,2,Adele,XL,1.0
2012,2,영준 (브라운아이드소울),인넥스트,-24.0
2012,2,김연우,Stone,-16.0
2012,2,울랄라세션,Stone,-13.0
2012,2,피기돌스 (Piggy Dolls),위닝인사이트,-0.0
2012,2,오렌지 캬라멜 (Orange Caramel),넥스타엔터테인먼트,-18.0
2012,2,박재범,아이에이치큐,-23.0
2012,2,박완규,아이엠비씨,-38.0
2012,2,스피카(SPICA),B2M,-0.0
2012,2,"동해, 은혁",SM,-20.0
2012,2,허각,플레이엠엔터테인먼트,-8.0
2012,2,아이유 (IU),Kakao,-15.0
2012,2,아이유 (IU),Kakao,-13.0
2012,2,임정희,노트뮤직,-13.0
2012,2,해오라 (Heora),한국음반산업협회,-0.0
2012,2,LMFAO,Universal,1.0
2012,2,소녀시대,SM,-6.0
2012,2,저스틴 김,아이엠비씨,100.0
2012,2,"포맨 (4Men), 미 (美)",해피페이스,-5.0
2012,2,김건모,미디어라인엔터테인먼트,-0.0
2012,2,이영현,딥블루,-28.0
2012,2,제아 (브라운 아이드 걸스),더그루브엔터테인먼트,-23.0
2012,2,나윤권,터치스카이,-0.0
2012,2,버스커 버스커 (Busker Busker),Stone,-8.0
2012,2,먼데이 키즈 (Monday Kiz),캔,-16.0
2012,2,김태극,아이엠비씨,100.0
2012,2,윤종신,미스틱스토리,-23.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-33.0
2012,2,김보경,Sony,-35.0
2012,2,거미,아이엠비씨,-0.0
2012,2,주석,퀸(QUEEN),-50.0
2012,2,"리쌍, 알리 (ALi)",제이엔터컴,-19.0
2012,2,Maroon 5,2011,3.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-36.0
2012,2,소녀시대,SM,-16.0
2012,2,"이승철, 크리스티나 러브 리",㈜진엔원뮤직웍스&Stone,-30.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-14.0
2012,2,소울 다이브 (Soul Dive),J2,-0.0
2012,2,보이프렌드(Boyfriend),스타쉽엔터테인먼트,-6.0
2012,2,이승기,후크엔터테인먼트,-19.0
2012,2,버스커 버스커 (Busker Busker),Stone,-7.0
2012,2,Beyonce,Sony,10.0
2012,2,Bueno Clinic,스카이뮤직,-2.0
2012,2,시크릿 (Secret),TS엔터테인먼트,-9.0
2012,2,윤민수,아이엠비씨,-0.0
2012,2,손담비,뮤직스펀지,-0.0
2012,2,팀 (Tim),Sony,-0.0
2012,2,인피니트 (Infinite),울림,-26.0
2012,2,비원에이포 (B1A4),디딤,-10.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-45.0
2012,2,김경호,아이엠비씨,-0.0
2012,2,김연지,엔티피아,-0.0
2012,2,박완규,아이엠비씨,-0.0
2012,2,원더걸스 (Wonder girls),JYP,-16.0
2012,2,버스커 버스커 (Busker Busker),Stone,-11.0
2012,2,일락 (一樂),유니온캔,-49.0
2012,2,수지,ice,-17.0
2012,2,Marie Digby,Universal,-13.0
2012,2,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-49.0
2012,3,티아라 (T-ara),코어컨텐츠미디어,1.0
2012,3,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,1.0
2012,3,10cm,내가,1.0
2012,3,써니힐 (SunnyHill),Kakao,24.0
2012,3,정준하,아이엠비씨,-4.0
2012,3,엠블랙 (MBLAQ),J.Tune,6.0
2012,3,린 (LYn),팬엔터테인먼트,-0.0
2012,3,원더걸스 (Wonder Girls),JYP,11.0
2012,3,효린,스타쉽엔터테인먼트,-0.0
2012,3,"다비치, 티아라",Kakao,
2012,3,틴 탑 (Teen Top),티오피미디어,2.0
2012,3,트러블메이커 (Trouble Maker),큐브엔터테인먼트,2.0
2012,3,아이유 (IU),Kakao,3.0
2012,3,원티드 (Wanted),Kakao,-5.0
2012,3,유재석,아이엠비씨,-10.0
2012,3,제이세라 (J-Cera),씨에스해피엔터테인먼트,21.0
2012,3,"리쌍, BMK",제이엔터컴,
2012,3,제시카 & 김진표,노트뮤직,-0.0
2012,3,하하,아이엠비씨,-13.0
2012,3,애즈 원 (As One),브랜뉴뮤직,-0.0
2012,3,노을,더그루브엔터테인먼트,1.0
2012,3,환희,더그루브엔터테인먼트,-0.0
2012,3,이현 (에이트),쏘스뮤직,-5.0
2012,3,"LMFAO, Steve Aoki",ToCorea,11.0
2012,3,길 (리쌍),아이엠비씨,-18.0
2012,3,지아 (Zia),Kakao,-6.0
2012,3,티아라 (T-ara),코어컨텐츠미디어,-1.0
2012,3,베이비소울＋유지아,울림,-0.0
2012,3,"허각, LE(EXID)",에이비엔터테인먼트,-5.0
2012,3,코요태(KYT),피케이미디어,3.0
2012,3,해오라 (Heora),한국음반산업협회,25.0
2012,3,정형돈,아이엠비씨,-24.0
2012,3,배수정,스타코아,100.0
2012,3,송지은,디딤,-0.0
2012,3,레인보우 픽시 (Pixie),DSP미디어,6.0
2012,3,나인 뮤지스 (Nine Muses),스타제국,3.0
2012,3,살찐고양이,커튼콜미디어,-14.0
2012,3,슈퍼주니어-K.R.Y (Super Junior-K.R.Y),내가,-0.0
2012,3,에이핑크 (Apink),플레이엠엔터테인먼트,-7.0
2012,3,M시그널,F&C,-0.0
2012,3,엠블랙 (MBLAQ),J.Tune,-20.0
2012,3,박명수,아이엠비씨,-31.0
2012,3,Jason Mraz,Elektra,-16.0
2012,3,원티드 (Wanted),Kakao,-0.0
2012,3,노을,ITM,-7.0
2012,3,원더걸스 (Wonder girls),JYP,-12.0
2012,3,알리 (ALi),예당컴퍼니,-16.0
2012,3,에스더 (Esther),펀팩토리,-0.0
2012,3,일렉트로보이즈 (Electroboyz),브레이브,-9.0
2012,3,Adele,XL,-8.0
2012,3,노홍철,아이엠비씨,-36.0
2012,3,김연우,Stone,-8.0
2012,3,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-23.0
2012,3,란 (Ran),IS엔터테인먼트,-0.0
2012,3,울랄라세션,Stone,-10.0
2012,3,NS Yoon-G,JTM엔터테인먼트,-20.0
2012,3,바비 킴 (Bobby Kim),애프터런치뮤직,-32.0
2012,3,영준 (브라운아이드소울),인넥스트,-0.0
2012,3,나윤권,터치스카이,5.0
2012,3,빅마마 소울,인터파크INT,78.0
2012,3,김연지,엔티피아,32.0
2012,3,영준 (브라운아이드소울),인넥스트,-19.0
2012,3,김지수 & 타루,쇼파르엔터테인먼트,-0.0
2012,3,장기하와 얼굴들,미디어플렉스,41.0
2012,3,허각,플레이엠엔터테인먼트,-13.0
2012,3,오렌지 캬라멜 (Orange Caramel),넥스타엔터테인먼트,-19.0
2012,3,조수미,Stone,64.0
2012,3,아이유 (IU),Kakao,-15.0
2012,3,아이유 (IU),Kakao,-15.0
2012,3,소녀시대,SM,-12.0
2012,3,박재범,아이에이치큐,-23.0
2012,3,LMFAO,Universal,-15.0
2012,3,"포맨 (4Men), 미 (美)",해피페이스,-13.0
2012,3,신효범,아이엠비씨,-45.0
2012,3,Maroon 5,2011,-1.0
2012,3,"동해, 은혁",SM,-25.0
2012,3,버스커 버스커 (Busker Busker),Stone,-12.0
2012,3,제아 (브라운 아이드 걸스),더그루브엔터테인먼트,-15.0
2012,3,스피카(SPICA),B2M,-29.0
2012,3,JK 김동욱,내가,-0.0
2012,3,구자명,아이엠비씨,100.0
2012,3,먼데이 키즈 (Monday Kiz),캔,-16.0
2012,3,Bueno Clinic,스카이뮤직,1.0
2012,3,Beyonce,Sony,-1.0
2012,3,보이프렌드(Boyfriend),스타쉽엔터테인먼트,-5.0
2012,3,소녀시대,SM,-10.0
2012,3,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-9.0
2012,3,팀 (Tim),Sony,
2012,3,이영현,딥블루,-27.0
2012,3,버스커 버스커 (Busker Busker),Stone,-8.0
2012,3,박완규,아이엠비씨,-42.0
2012,3,이승기,후크엔터테인먼트,-11.0
2012,3,시크릿 (Secret),TS엔터테인먼트,-8.0
2012,3,Marie Digby,Universal,5.0
2012,3,우은미,라디오스타,-0.0
2012,3,수지,ice,2.0
2012,3,피기돌스 (Piggy Dolls),위닝인사이트,-51.0
2012,3,버스커 버스커 (Busker Busker),Stone,-2.0
2012,3,클래지 (Clazzi),플럭서스,-0.0
2012,3,허각,플레이엠엔터테인먼트,4.0
2012,4,비스트 (Beast),큐브엔터테인먼트,-0.0
2012,4,효린,스타쉽엔터테인먼트,7.0
2012,4,티아라 (T-ara),코어컨텐츠미디어,-2.0
2012,4,린 (LYn),팬엔터테인먼트,3.0
2012,4,10cm,내가,-2.0
2012,4,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-4.0
2012,4,써니힐 (SunnyHill),Kakao,-3.0
2012,4,엠블랙 (MBLAQ),J.Tune,-2.0
2012,4,원티드 (Wanted),Kakao,35.0
2012,4,틴 탑 (Teen Top),티오피미디어,1.0
2012,4,정준하,아이엠비씨,-6.0
2012,4,제시카 & 김진표,노트뮤직,6.0
2012,4,트러블메이커 (Trouble Maker),큐브엔터테인먼트,-1.0
2012,4,"다비치, 티아라",Kakao,-4.0
2012,4,아이유 (IU),Kakao,-2.0
2012,4,휘성,팬엔터테인먼트,-0.0
2012,4,영준 (브라운아이드소울),인넥스트,41.0
2012,4,원더걸스 (Wonder Girls),JYP,-10.0
2012,4,제이세라 (J-Cera),씨에스해피엔터테인먼트,-3.0
2012,4,"스컬 (Skull), 박효신",브랜뉴뮤직,-0.0
2012,4,원티드 (Wanted),Kakao,-7.0
2012,4,"리쌍, BMK",제이엔터컴,-5.0
2012,4,노을,더그루브엔터테인먼트,-2.0
2012,4,유재석,아이엠비씨,-9.0
2012,4,"LMFAO, Steve Aoki",ToCorea,-1.0
2012,4,송지은,디딤,8.0
2012,4,해오라 (Heora),한국음반산업협회,4.0
2012,4,Dal★Shabet (달샤벳),해피페이스,-0.0
2012,4,이현 (에이트),쏘스뮤직,-6.0
2012,4,티아라 (T-ara),코어컨텐츠미디어,-3.0
2012,4,"허각, LE(EXID)",에이비엔터테인먼트,-2.0
2012,4,하하,아이엠비씨,-13.0
2012,4,브라이언 (Brian),젤리피쉬,-0.0
2012,4,코요태(KYT),피케이미디어,-4.0
2012,4,레인보우 픽시 (Pixie),DSP미디어,
2012,4,M시그널,F&C,4.0
2012,4,지아 (Zia),Kakao,-11.0
2012,4,살찐고양이,커튼콜미디어,-1.0
2012,4,Adele,XL,11.0
2012,4,나인 뮤지스 (Nine Muses),스타제국,-4.0
2012,4,노을,ITM,4.0
2012,4,에이핑크 (Apink),플레이엠엔터테인먼트,-3.0
2012,4,별,노트뮤직,-0.0
2012,4,거미,아이엠비씨,-0.0
2012,4,태사비애,SC,96.0
2012,4,원더걸스 (Wonder girls),JYP,
2012,4,김경호,아이엠비씨,-0.0
2012,4,일렉트로보이즈 (Electroboyz),브레이브,1.0
2012,4,알리 (ALi),예당컴퍼니,-2.0
2012,4,애즈 원 (As One),브랜뉴뮤직,-30.0
2012,4,Jason Mraz,Elektra,-8.0
2012,4,길 (리쌍),아이엠비씨,-27.0
2012,4,울랄라세션,Stone,2.0
2012,4,B.A.P,TS엔터테인먼트,-0.0
2012,4,NS Yoon-G,JTM엔터테인먼트,1.0
2012,4,윤민수,아이엠비씨,-0.0
2012,4,환희,더그루브엔터테인먼트,-35.0
2012,4,베이비소울＋유지아,울림,-30.0
2012,4,정형돈,아이엠비씨,-27.0
2012,4,팀 (Tim),Sony,66.0
2012,4,슈퍼주니어-K.R.Y (Super Junior-K.R.Y),내가,-23.0
2012,4,김연우,Stone,-10.0
2012,4,포이트리,고마워뮤직,-0.0
2012,4,버벌진트 (Verbal Jint),브랜뉴뮤직,-0.0
2012,4,엠블랙 (MBLAQ),J.Tune,-24.0
2012,4,란 (Ran),IS엔터테인먼트,-12.0
2012,4,신효범,아이엠비씨,-0.0
2012,4,Nelly,Universal,96.0
2012,4,박명수,아이엠비씨,-27.0
2012,4,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-17.0
2012,4,허각,플레이엠엔터테인먼트,-6.0
2012,4,에스더 (Esther),펀팩토리,-24.0
2012,4,LMFAO,Universal,-1.0
2012,4,노홍철,아이엠비씨,-23.0
2012,4,영준 (브라운아이드소울),인넥스트,-13.0
2012,4,Maroon 5,2011,-1.0
2012,4,아이유 (IU),Kakao,-8.0
2012,4,아이유 (IU),Kakao,-10.0
2012,4,소녀시대,SM,-9.0
2012,4,"포맨 (4Men), 미 (美)",해피페이스,-7.0
2012,4,오렌지 캬라멜 (Orange Caramel),넥스타엔터테인먼트,-15.0
2012,4,Beyonce,Sony,2.0
2012,4,Pixie Lott,Universal,49.0
2012,4,Bueno Clinic,스카이뮤직,-1.0
2012,4,배수정,스타코아,-52.0
2012,4,버스커 버스커 (Busker Busker),Stone,-9.0
2012,4,적우 (Red Rain),아이엠비씨,-0.0
2012,4,먼데이 키즈 (Monday Kiz),캔,-6.0
2012,4,"이루마 (Yiruma), 신용재, 美(미), BIGTONE",HAPPY,-0.0
2012,4,보이프렌드(Boyfriend),스타쉽엔터테인먼트,-5.0
2012,4,김지수 & 타루,쇼파르엔터테인먼트,-28.0
2012,4,"동해, 은혁",SM,-16.0
2012,4,제아 (브라운 아이드 걸스),더그루브엔터테인먼트,-15.0
2012,4,바비 킴 (Bobby Kim),애프터런치뮤직,-37.0
2012,4,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-8.0
2012,4,우은미,라디오스타,-1.0
2012,4,소녀시대,SM,-11.0
2012,4,버스커 버스커 (Busker Busker),Stone,-8.0
2012,4,박재범,아이에이치큐,-28.0
2012,4,Pixie Lott,Universal,61.0
2012,5,세븐,YG,-0.0
2012,5,케이윌 (K.Will),스타쉽엔터테인먼트,-0.0
2012,5,비스트 (Beast),큐브엔터테인먼트,-2.0
2012,5,FTISLAND (FT 아일랜드),FNC엔터테인먼트,-0.0
2012,5,린 (LYn),팬엔터테인먼트,-1.0
2012,5,티아라 (T-ara),코어컨텐츠미디어,-3.0
2012,5,효린,스타쉽엔터테인먼트,-5.0
2012,5,미료 (브라운아이드걸스),내가,-0.0
2012,5,"이루마 (Yiruma), 신용재, 美(미), BIGTONE",HAPPY,80.0
2012,5,써니힐 (SunnyHill),Kakao,-3.0
2012,5,10cm,내가,-6.0
2012,5,Dal★Shabet (달샤벳),해피페이스,16.0
2012,5,엠블랙 (MBLAQ),J.Tune,-5.0
2012,5,박진영,홀림,-0.0
2012,5,틴 탑 (Teen Top),티오피미디어,-5.0
2012,5,용준형,큐브엔터테인먼트,-0.0
2012,5,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-11.0
2012,5,휘성,팬엔터테인먼트,-2.0
2012,5,나몰라패밀리JW,장엔터테인먼트,-0.0
2012,5,블락비 (Block B),브랜뉴스타덤,-0.0
2012,5,트러블메이커 (Trouble Maker),큐브엔터테인먼트,-8.0
2012,5,"다비치, 티아라",Kakao,-8.0
2012,5,아이유 (IU),Kakao,-8.0
2012,5,정준하,아이엠비씨,-13.0
2012,5,제시카 & 김진표,노트뮤직,-13.0
2012,5,"스컬 (Skull), 박효신",브랜뉴뮤직,-6.0
2012,5,브라이언 (Brian),젤리피쉬,6.0
2012,5,마리오 (Mario),플레이엠엔터테인먼트,-0.0
2012,5,제이세라 (J-Cera),씨에스해피엔터테인먼트,-10.0
2012,5,원티드 (Wanted),Kakao,-21.0
2012,5,스윗소로우(Sweet Sorrow),젬컬처스,-0.0
2012,5,노을,더그루브엔터테인먼트,-9.0
2012,5,"서영은, 이정",제이제이홀릭미디어,-0.0
2012,5,미료 (브라운아이드걸스),내가,-0.0
2012,5,원더걸스 (Wonder Girls),JYP,-17.0
2012,5,세븐,YG,-0.0
2012,5,부가킹즈 (Buga Kingz),오스카이엔티,-0.0
2012,5,노을,ITM,3.0
2012,5,"리쌍, BMK",제이엔터컴,-17.0
2012,5,레인보우 픽시 (Pixie),DSP미디어,-5.0
2012,5,해오라 (Heora),한국음반산업협회,-14.0
2012,5,"LMFAO, Steve Aoki",ToCorea,-17.0
2012,5,살찐고양이,커튼콜미디어,-5.0
2012,5,B.A.P,TS엔터테인먼트,10.0
2012,5,Adele,XL,-6.0
2012,5,이영현,아이엠비씨,-0.0
2012,5,"허각, LE(EXID)",에이비엔터테인먼트,-16.0
2012,5,티아라 (T-ara),코어컨텐츠미디어,-18.0
2012,5,세븐,YG,-0.0
2012,5,세븐,YG,-0.0
2012,5,별,노트뮤직,-8.0
2012,5,이현 (에이트),쏘스뮤직,-23.0
2012,5,원티드 (Wanted),Kakao,-32.0
2012,5,나인 뮤지스 (Nine Muses),스타제국,-14.0
2012,5,유재석,아이엠비씨,-31.0
2012,5,미료 (브라운아이드걸스),내가,-0.0
2012,5,지아 (Zia),Kakao,-20.0
2012,5,박지윤,박지윤크리에이티브,-0.0
2012,5,에이핑크 (Apink),플레이엠엔터테인먼트,-17.0
2012,5,영준 (브라운아이드소울),인넥스트,-43.0
2012,5,세븐,YG,-0.0
2012,5,블락비 (Block B),브랜뉴스타덤,-0.0
2012,5,이정,스타엔트리엔터테인먼트,-0.0
2012,5,NS Yoon-G,JTM엔터테인먼트,-9.0
2012,5,원더걸스 (Wonder girls),JYP,-19.0
2012,5,버벌진트 (Verbal Jint),브랜뉴뮤직,-2.0
2012,5,코요태(KYT),피케이미디어,-33.0
2012,5,알리 (ALi),예당컴퍼니,-19.0
2012,5,김연지,더그루브엔터테인먼트,-0.0
2012,5,거미,아이엠비씨,-0.0
2012,5,민 (miss A),터치스카이,-0.0
2012,5,일렉트로보이즈 (Electroboyz),브레이브,-24.0
2012,5,세븐,YG,-0.0
2012,5,울랄라세션,Stone,-21.0
2012,5,하하,아이엠비씨,-43.0
2012,5,송지은,디딤,-50.0
2012,5,Jason Mraz,Elektra,-26.0
2012,5,미료 (브라운아이드걸스),내가,-0.0
2012,5,Maroon 5,2011,-3.0
2012,5,블락비 (Block B),브랜뉴스타덤,-0.0
2012,5,거미,아이엠비씨,-37.0
2012,5,FTISLAND (FT 아일랜드),FNC엔터테인먼트,-0.0
2012,5,김연우,Stone,-21.0
2012,5,박완규,아이엠비씨,-0.0
2012,5,엠블랙 (MBLAQ),J.Tune,-20.0
2012,5,FTISLAND (FT 아일랜드),FNC엔터테인먼트,-0.0
2012,5,LMFAO,Universal,-14.0
2012,5,허각,플레이엠엔터테인먼트,-17.0
2012,5,윤종신,미스틱스토리,-0.0
2012,5,김경호,아이엠비씨,-0.0
2012,5,길 (리쌍),아이엠비씨,-39.0
2012,5,Pixie Lott,Universal,-9.0
2012,5,태사비애,SC,-48.0
2012,5,"포맨 (4Men), 미 (美)",해피페이스,-14.0
2012,5,Bueno Clinic,스카이뮤직,-11.0
2012,5,베이비소울＋유지아,울림,-38.0
2012,5,소녀시대,SM,-18.0
2012,5,아이유 (IU),Kakao,-20.0
2012,5,Beyonce,Sony,-17.0
2012,5,다이나믹 듀오 (Dynamic Duo),아메바컬쳐,-30.0
2012,6,린 (LYn),팬엔터테인먼트,4.0
2012,6,세븐,YG,-1.0
2012,6,FTISLAND (FT 아일랜드),FNC엔터테인먼트,1.0
2012,6,다비치,제이오션스타,-0.0
2012,6,케이윌 (K.Will),스타쉽엔터테인먼트,-3.0
2012,6,나윤권,"씨에이치웍스,",-0.0
2012,6,비스트 (Beast),큐브엔터테인먼트,-4.0
2012,6,용준형,큐브엔터테인먼트,8.0
2012,6,티아라 (T-ara),코어컨텐츠미디어,-3.0
2012,6,미료 (브라운아이드걸스),내가,-2.0
2012,6,블락비 (Block B),브랜뉴스타덤,9.0
2012,6,써니힐 (SunnyHill),Kakao,-2.0
2012,6,마리오 (Mario),플레이엠엔터테인먼트,15.0
2012,6,박재범,아이에이치큐,-0.0
2012,6,효린,스타쉽엔터테인먼트,-8.0
2012,6,10cm,내가,-5.0
2012,6,휘성,팬엔터테인먼트,1.0
2012,6,먼데이 키즈 (Monday Kiz),팬엔터테인먼트,-0.0
2012,6,Dal★Shabet (달샤벳),해피페이스,-7.0
2012,6,틴 탑 (Teen Top),티오피미디어,-5.0
2012,6,장재인,키위뮤직,-0.0
2012,6,엠블랙 (MBLAQ),J.Tune,-9.0
